,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
mean_fit_time,2.543611478805542,70.01282453536987,0.09839744567871093,0.09762434959411621,35.387677145004275,84.5469172000885,0.09134850502014161,0.09156270027160644,0.09015421867370606,0.08843369483947754,61.07945446968078,72.86645278930663,0.09190764427185058,0.08899760246276855,0.09429688453674316,33.33537721633911,34.450406885147096,0.09011192321777343,0.08799028396606445,0.09224910736083984,55.526545715332034,0.08853306770324706,0.0922205924987793,42.37137541770935,0.09071722030639648,0.09111127853393555,9.36845383644104,47.71675572395325,0.0909346580505371,0.0929142951965332,0.09620203971862792,6.74654450416565,54.24052720069885,0.0932201862335205,0.09553694725036621,0.08822312355041503,0.08923683166503907,0.09067277908325196,0.09081144332885742,24.06187710762024,0.09398484230041504,0.0916837215423584,0.09906702041625977,0.09695568084716796,9.063606595993042,0.09532203674316406,0.09834213256835937,0.0986480712890625,72.42353539466858,0.0913762092590332,0.09257645606994629,0.8265573978424072,21.103589725494384,0.09035296440124511,0.09655966758728027,0.09679117202758789,26.76813726425171,0.0875403881072998,27.87937707901001,86.21403455734253,0.09281578063964843,0.0886453628540039,35.751907682418825,0.09247689247131348,57.876544094085695,4.492881536483765,94.00024404525757,26.92002582550049,0.08981199264526367,0.09244236946105958,0.09404554367065429,0.0968508243560791,0.1009101390838623,0.09998407363891601,0.10136246681213379,0.10243744850158691,0.09408698081970215,6.663730573654175,0.1007190227508545,0.10235257148742676,0.09752421379089356,0.10367350578308106,66.35328788757325,0.09192085266113281,0.09838662147521973,0.10241684913635254,9.102854919433593,0.08914289474487305,0.09458503723144532,4.271997690200806,0.09544568061828614,19.351999855041505,57.42505764961243,81.8567901134491,11.66909899711609,0.0932455062866211,65.21394577026368,0.08903617858886718,0.0904120922088623,66.74736738204956
std_fit_time,0.042516428315339076,22.531994931180943,0.0043039339660617204,0.0031337933480238968,17.356570804212662,22.654697923517745,0.0028624192867625266,0.004111675282777506,0.004458865321171534,0.0018733496427699196,42.13444648426689,29.006273597974054,0.0033244919434530043,0.0027567858532182533,0.0050164121481864965,12.890222584480853,31.432050990820024,0.0026636520438102058,0.0021832033264367486,0.000855668986660261,45.319372561364936,0.001545450501146967,0.002542956861121665,33.51689149119696,0.003389341620519577,0.007843916911078986,2.953706198153308,31.694941018417417,0.005086339587986337,0.006258142220907,0.005016785489177759,1.682740503802903,34.89882583926484,0.00573176237584596,0.008695649644295023,0.0037762057822764024,0.00377329250727022,0.0031982597048476292,0.0035124001747244248,6.134475307122725,0.006281073625674171,0.004844574518174928,0.006592312437430075,0.008883672944203775,0.4797314459342892,0.006904956382411311,0.006160564046338454,0.006954314710262336,29.37062635862056,0.005943278692085075,0.0054538944154500935,1.4725324846593886,7.511464301863308,0.0018221623057422809,0.006238657371219686,0.0019024563548246832,16.26309754854137,0.002378171630960693,20.991397723408845,8.798392717492257,0.0026745207593564897,0.0021685839138395665,16.01877357120722,0.00552220698499481,45.64260606172517,0.05110604619810881,2.6637431952632746,7.790970990621284,0.0059655129899004065,0.00706052175788108,0.0031863178126021454,0.0038048818594972676,0.004062041729797205,0.005124524688600642,0.006397062921255039,0.00534630619283919,0.003932860679313459,1.297160594799943,0.006217846180881326,0.009202236092193478,0.006772620528613826,0.006262550374873102,21.944265077757287,0.0019637659894249336,0.006498341737058957,0.004789420114666944,1.093115423434132,0.002459973833097618,0.006385406724807409,0.2724143760253631,0.004288545498564117,38.50427891180244,45.29261025104278,19.580889918812886,0.2898894190129926,0.006552204500318447,18.153467389070315,0.004286304262830602,0.005198956610445012,13.474796732314935
mean_score_time,0.017008590698242187,0.03817558288574219,0.02168889045715332,0.022129011154174805,0.038843727111816405,0.040231943130493164,0.01957859992980957,0.020148086547851562,0.019695520401000977,0.020379161834716795,0.03434605598449707,0.03783946037292481,0.018184185028076172,0.020281553268432617,0.01803112030029297,0.038627099990844724,0.03726916313171387,0.019691991806030273,0.019067001342773438,0.020364665985107423,0.03045492172241211,0.019975614547729493,0.02064194679260254,0.039552497863769534,0.019491243362426757,0.017965412139892577,0.03724141120910644,0.03967537879943848,0.020602846145629884,0.01892199516296387,0.018433809280395508,0.03771629333496094,0.037260580062866214,0.01889810562133789,0.018756341934204102,0.020320844650268555,0.01976933479309082,0.019800996780395506,0.018552446365356447,0.03891568183898926,0.01885533332824707,0.019429349899291994,0.022719478607177733,0.019239187240600586,0.040950870513916014,0.022006464004516602,0.020615625381469726,0.022933340072631835,0.039322948455810545,0.020123672485351563,0.02030324935913086,0.022670555114746093,0.03847899436950684,0.02023282051086426,0.02073559761047363,0.02069997787475586,0.038707399368286134,0.019897031784057616,0.03908672332763672,0.03804445266723633,0.019159364700317382,0.020879793167114257,0.037816429138183595,0.01882028579711914,0.035621929168701175,0.038747644424438475,0.03862032890319824,0.03838081359863281,0.018856191635131837,0.020177078247070313,0.018767023086547853,0.019580078125,0.01973881721496582,0.021050548553466795,0.020582056045532225,0.02456188201904297,0.021846294403076172,0.03806014060974121,0.022263765335083008,0.022690486907958985,0.01975712776184082,0.02363905906677246,0.037503719329833984,0.02065701484680176,0.020600080490112305,0.0190946102142334,0.038254499435424805,0.020703744888305665,0.019446372985839844,0.038086986541748045,0.01966571807861328,0.025218725204467773,0.034067726135253905,0.036426448822021486,0.039817523956298825,0.02112855911254883,0.030351924896240234,0.019704914093017577,0.019095134735107423,0.020781660079956056
std_score_time,0.0007856954305971893,0.0012802496777928748,0.0005798621664915688,0.0022041575692205973,0.0028831149129872283,0.0025057937846684193,0.000987376130209063,0.00311582006803506,0.002192061201690775,0.002525220784713021,0.008156619644687581,0.0017736425180819137,0.0010981256316809206,0.0020273079437905187,0.0007784840436479445,0.0013863059269113615,0.001224413309138156,0.0014789870694457735,0.0008650364564621387,0.0013110593102686895,0.009487546788707557,0.00254211559945331,0.001324922377839945,0.0031515721288443376,0.0016152988510736615,0.000791261310213218,0.0011421997816563978,0.00229947654680854,0.0013142177299877177,0.0017537932773958537,0.00047427720499420564,0.0017279203875491913,0.002132848439184615,0.0009987568744843696,0.0015652559214783027,0.0022867599181674116,0.0012075480117692456,0.0011023587241439565,0.0007150904082910525,0.0038001675264177693,0.0009745031068385685,0.0015074956842981689,0.0020981629562503157,0.0023105647139985944,0.0032993513547052026,0.00279280266360958,0.002277874698919991,0.001575548209598374,0.003686608502042308,0.002935708783143291,0.0015610470039868652,0.0070861899366908305,0.0021674202924285156,0.0024331515878224714,0.0019606772757367087,0.001045969397952903,0.0016321922761114147,0.002050910162058252,0.0018760343918885593,0.0016789341676851988,0.0011210046117857999,0.0009362433849706403,0.001458956902366118,0.0011337943927265234,0.006993147914062172,0.0024229680780745474,0.0033551688886390954,0.0015978424439785988,0.000714579335500144,0.0016544033075248663,0.0010868070856986651,0.0013269000336555297,0.0016104222240543415,0.001819800949486466,0.0027876672022808845,0.0036116905828826665,0.0006448438864737616,0.0021956659794468833,0.001021929614955662,0.003987772565923718,0.0019444477693192064,0.0014620632132679296,0.0025678910533259115,0.0016844532789797885,0.0017694054133751641,0.0011694279853470047,0.001466892422265643,0.0013864299406024603,0.0011346893403268595,0.0013267757528483437,0.002153735697971557,0.007819554693050578,0.008709866859255865,0.0016622257763679693,0.0011363152180344186,0.0015073283908593829,0.007113153707474005,0.0007784712303278595,0.001640408053354048,0.007250212626081817
param_lambd,0.0731995674664127,0.00015219067418778908,0.000802843348986547,3.190705642512425e-07,6.730941324186337e-05,5.610211793609842e-07,1.5022172601915005e-06,0.0049045188607393835,0.00014019098154129548,0.00047298131591922587,3.260638006814432e-07,6.393247268587448e-09,1.185682521880961e-07,0.023473146736613586,8.988239743175972e-06,2.0113811096657834e-09,5.268316083020322e-05,8.888905724663767e-06,2.213717525908997e-10,0.0003504974979995992,0.007166851193971444,1.4635616575668921e-10,0.052908086368809816,2.9870072693800543e-06,0.06793370271973019,0.0013040379010944732,2.7557306935214446e-07,2.208298441278738e-06,0.00019480856341648297,0.0609041128553698,2.4054509549866745e-05,3.1293667288667234e-05,2.2158657665846487e-07,0.00023875752088307645,6.593122260801962e-09,0.00016312488577168712,3.120854788413243e-07,0.0035925886507666848,0.022558252840057646,2.9955203451101195e-08,4.580122225228828e-08,7.86186024516029e-06,8.179349670527522e-07,0.04992307136553073,0.0038228621518995058,2.7340169193968333e-06,0.0002944740898600713,2.0112595780288303e-06,8.314498342950891e-08,0.00033668099397304044,0.003488242715331569,2.2530075493400247e-09,6.883261749390455e-08,1.952689064785106e-07,7.143755157877316e-09,1.4529286547229456e-05,2.2394232734322428e-06,3.6879865061510574e-05,7.57172256085189e-07,5.843731365934353e-06,0.007537088484035713,1.1121884561761489e-05,2.44637577141887e-07,8.822611446667169e-06,3.91491890613378e-07,0.03575415074188806,2.302488475759386e-08,7.86304416656048e-07,0.0014465488013914883,0.0018239360119590667,0.00027988058186081304,0.04340844579382826,3.3119099484455985e-05,3.4116110931305765e-08,0.003786377738085714,1.1036683516274165e-09,1.1055133516906322e-07,6.558284333397166e-05,1.16704553043055e-10,1.1168682594309145e-08,0.005958697789352102,1.920107247074844e-07,1.897927157765285e-10,0.04517110308887399,0.0002259286640627082,8.361716969101773e-06,0.003238680422442603,0.0027941539211374104,8.9032275675767e-08,0.07976349539241999,0.006158379895290454,0.0005525449176432401,1.8156336574598308e-07,1.783363606879548e-10,0.0013617124311865619,0.018055674875476786,1.6391610474529873e-09,1.3962104254797714e-09,0.007606266296626141,0.00013316155209338023
param_learning_rate,0.011645865243903254,0.0008581749429586392,0.06357795232123352,0.04115223488783515,0.0002175626739976825,0.00037540016730831685,0.031602265379524846,0.021599811098465753,0.014398415493993646,0.011602777528411585,0.0016523552107724033,0.00037787689974572587,0.0036767140692602687,0.05660718213380702,0.002333836630486199,0.00018171739057891247,0.0004009166933029194,0.012577845608024153,0.012640574596229913,0.03081851158431353,0.0017324305226866753,0.020310829364484632,0.04765232184752606,0.0010192365670334265,0.004172790312080704,0.023336684737684684,0.0001179116952719234,0.001059042633006237,0.03576542723435887,0.008803875713096303,0.002804130595852573,0.0001311391400665532,0.00023529882184378825,0.018006928358956023,0.014880256505096699,0.010183279783210897,0.006760242122678654,0.011327904374693196,0.008560160764874796,0.0005681020779230311,0.015277415187065779,0.008074100541438894,0.008671899166749479,0.00832551877774058,0.00026803221210854896,0.02863589923089129,0.002903096142263045,0.0073532119598536455,0.0002934186463287438,0.04907944533515362,0.042343261309690586,0.0038096017138125396,0.00012652723094979748,0.031918205992016654,0.002724520711587581,0.05299544438082354,0.0005682677943795014,0.08843694172235865,0.0008730005818566702,0.00032669280648318184,0.0024791786072320098,0.09007728620243341,0.00019119100155855722,0.003409792621916549,0.0016087502066581781,0.00010813292132176157,0.00021197043936431123,0.0005346753852134175,0.007487337086077715,0.01129358414611719,0.008141159427188627,0.004780314543737813,0.002230161227256912,0.01088199163217487,0.06144174959003978,0.07894773628878055,0.017713808799582266,0.00011477914997848446,0.01126425092071821,0.0018275910510772984,0.014456860052215964,0.09226034310699088,0.00023663844449483236,0.043320313317924984,0.00916737060387127,0.002046335870056448,0.00037190166418862234,0.045473433395181846,0.01216140377523752,0.00013616959542815275,0.008176665240178578,0.0020279299042052145,0.0015690015630529632,0.0003483774910098248,0.0002254852452627762,0.09097589769476656,0.00022401659965581858,0.0804238080497039,0.00616581665258414,0.0009667086107024742
params,"{'lambd': 0.0731995674664127, 'learning_rate': 0.011645865243903254}","{'lambd': 0.00015219067418778908, 'learning_rate': 0.0008581749429586392}","{'lambd': 0.000802843348986547, 'learning_rate': 0.06357795232123352}","{'lambd': 3.190705642512425e-07, 'learning_rate': 0.04115223488783515}","{'lambd': 6.730941324186337e-05, 'learning_rate': 0.0002175626739976825}","{'lambd': 5.610211793609842e-07, 'learning_rate': 0.00037540016730831685}","{'lambd': 1.5022172601915005e-06, 'learning_rate': 0.031602265379524846}","{'lambd': 0.0049045188607393835, 'learning_rate': 0.021599811098465753}","{'lambd': 0.00014019098154129548, 'learning_rate': 0.014398415493993646}","{'lambd': 0.00047298131591922587, 'learning_rate': 0.011602777528411585}","{'lambd': 3.260638006814432e-07, 'learning_rate': 0.0016523552107724033}","{'lambd': 6.393247268587448e-09, 'learning_rate': 0.00037787689974572587}","{'lambd': 1.185682521880961e-07, 'learning_rate': 0.0036767140692602687}","{'lambd': 0.023473146736613586, 'learning_rate': 0.05660718213380702}","{'lambd': 8.988239743175972e-06, 'learning_rate': 0.002333836630486199}","{'lambd': 2.0113811096657834e-09, 'learning_rate': 0.00018171739057891247}","{'lambd': 5.268316083020322e-05, 'learning_rate': 0.0004009166933029194}","{'lambd': 8.888905724663767e-06, 'learning_rate': 0.012577845608024153}","{'lambd': 2.213717525908997e-10, 'learning_rate': 0.012640574596229913}","{'lambd': 0.0003504974979995992, 'learning_rate': 0.03081851158431353}","{'lambd': 0.007166851193971444, 'learning_rate': 0.0017324305226866753}","{'lambd': 1.4635616575668921e-10, 'learning_rate': 0.020310829364484632}","{'lambd': 0.052908086368809816, 'learning_rate': 0.04765232184752606}","{'lambd': 2.9870072693800543e-06, 'learning_rate': 0.0010192365670334265}","{'lambd': 0.06793370271973019, 'learning_rate': 0.004172790312080704}","{'lambd': 0.0013040379010944732, 'learning_rate': 0.023336684737684684}","{'lambd': 2.7557306935214446e-07, 'learning_rate': 0.0001179116952719234}","{'lambd': 2.208298441278738e-06, 'learning_rate': 0.001059042633006237}","{'lambd': 0.00019480856341648297, 'learning_rate': 0.03576542723435887}","{'lambd': 0.0609041128553698, 'learning_rate': 0.008803875713096303}","{'lambd': 2.4054509549866745e-05, 'learning_rate': 0.002804130595852573}","{'lambd': 3.1293667288667234e-05, 'learning_rate': 0.0001311391400665532}","{'lambd': 2.2158657665846487e-07, 'learning_rate': 0.00023529882184378825}","{'lambd': 0.00023875752088307645, 'learning_rate': 0.018006928358956023}","{'lambd': 6.593122260801962e-09, 'learning_rate': 0.014880256505096699}","{'lambd': 0.00016312488577168712, 'learning_rate': 0.010183279783210897}","{'lambd': 3.120854788413243e-07, 'learning_rate': 0.006760242122678654}","{'lambd': 0.0035925886507666848, 'learning_rate': 0.011327904374693196}","{'lambd': 0.022558252840057646, 'learning_rate': 0.008560160764874796}","{'lambd': 2.9955203451101195e-08, 'learning_rate': 0.0005681020779230311}","{'lambd': 4.580122225228828e-08, 'learning_rate': 0.015277415187065779}","{'lambd': 7.86186024516029e-06, 'learning_rate': 0.008074100541438894}","{'lambd': 8.179349670527522e-07, 'learning_rate': 0.008671899166749479}","{'lambd': 0.04992307136553073, 'learning_rate': 0.00832551877774058}","{'lambd': 0.0038228621518995058, 'learning_rate': 0.00026803221210854896}","{'lambd': 2.7340169193968333e-06, 'learning_rate': 0.02863589923089129}","{'lambd': 0.0002944740898600713, 'learning_rate': 0.002903096142263045}","{'lambd': 2.0112595780288303e-06, 'learning_rate': 0.0073532119598536455}","{'lambd': 8.314498342950891e-08, 'learning_rate': 0.0002934186463287438}","{'lambd': 0.00033668099397304044, 'learning_rate': 0.04907944533515362}","{'lambd': 0.003488242715331569, 'learning_rate': 0.042343261309690586}","{'lambd': 2.2530075493400247e-09, 'learning_rate': 0.0038096017138125396}","{'lambd': 6.883261749390455e-08, 'learning_rate': 0.00012652723094979748}","{'lambd': 1.952689064785106e-07, 'learning_rate': 0.031918205992016654}","{'lambd': 7.143755157877316e-09, 'learning_rate': 0.002724520711587581}","{'lambd': 1.4529286547229456e-05, 'learning_rate': 0.05299544438082354}","{'lambd': 2.2394232734322428e-06, 'learning_rate': 0.0005682677943795014}","{'lambd': 3.6879865061510574e-05, 'learning_rate': 0.08843694172235865}","{'lambd': 7.57172256085189e-07, 'learning_rate': 0.0008730005818566702}","{'lambd': 5.843731365934353e-06, 'learning_rate': 0.00032669280648318184}","{'lambd': 0.007537088484035713, 'learning_rate': 0.0024791786072320098}","{'lambd': 1.1121884561761489e-05, 'learning_rate': 0.09007728620243341}","{'lambd': 2.44637577141887e-07, 'learning_rate': 0.00019119100155855722}","{'lambd': 8.822611446667169e-06, 'learning_rate': 0.003409792621916549}","{'lambd': 3.91491890613378e-07, 'learning_rate': 0.0016087502066581781}","{'lambd': 0.03575415074188806, 'learning_rate': 0.00010813292132176157}","{'lambd': 2.302488475759386e-08, 'learning_rate': 0.00021197043936431123}","{'lambd': 7.86304416656048e-07, 'learning_rate': 0.0005346753852134175}","{'lambd': 0.0014465488013914883, 'learning_rate': 0.007487337086077715}","{'lambd': 0.0018239360119590667, 'learning_rate': 0.01129358414611719}","{'lambd': 0.00027988058186081304, 'learning_rate': 0.008141159427188627}","{'lambd': 0.04340844579382826, 'learning_rate': 0.004780314543737813}","{'lambd': 3.3119099484455985e-05, 'learning_rate': 0.002230161227256912}","{'lambd': 3.4116110931305765e-08, 'learning_rate': 0.01088199163217487}","{'lambd': 0.003786377738085714, 'learning_rate': 0.06144174959003978}","{'lambd': 1.1036683516274165e-09, 'learning_rate': 0.07894773628878055}","{'lambd': 1.1055133516906322e-07, 'learning_rate': 0.017713808799582266}","{'lambd': 6.558284333397166e-05, 'learning_rate': 0.00011477914997848446}","{'lambd': 1.16704553043055e-10, 'learning_rate': 0.01126425092071821}","{'lambd': 1.1168682594309145e-08, 'learning_rate': 0.0018275910510772984}","{'lambd': 0.005958697789352102, 'learning_rate': 0.014456860052215964}","{'lambd': 1.920107247074844e-07, 'learning_rate': 0.09226034310699088}","{'lambd': 1.897927157765285e-10, 'learning_rate': 0.00023663844449483236}","{'lambd': 0.04517110308887399, 'learning_rate': 0.043320313317924984}","{'lambd': 0.0002259286640627082, 'learning_rate': 0.00916737060387127}","{'lambd': 8.361716969101773e-06, 'learning_rate': 0.002046335870056448}","{'lambd': 0.003238680422442603, 'learning_rate': 0.00037190166418862234}","{'lambd': 0.0027941539211374104, 'learning_rate': 0.045473433395181846}","{'lambd': 8.9032275675767e-08, 'learning_rate': 0.01216140377523752}","{'lambd': 0.07976349539241999, 'learning_rate': 0.00013616959542815275}","{'lambd': 0.006158379895290454, 'learning_rate': 0.008176665240178578}","{'lambd': 0.0005525449176432401, 'learning_rate': 0.0020279299042052145}","{'lambd': 1.8156336574598308e-07, 'learning_rate': 0.0015690015630529632}","{'lambd': 1.783363606879548e-10, 'learning_rate': 0.0003483774910098248}","{'lambd': 0.0013617124311865619, 'learning_rate': 0.0002254852452627762}","{'lambd': 0.018055674875476786, 'learning_rate': 0.09097589769476656}","{'lambd': 1.6391610474529873e-09, 'learning_rate': 0.00022401659965581858}","{'lambd': 1.3962104254797714e-09, 'learning_rate': 0.0804238080497039}","{'lambd': 0.007606266296626141, 'learning_rate': 0.00616581665258414}","{'lambd': 0.00013316155209338023, 'learning_rate': 0.0009667086107024742}"
split0_test_score,-1.0,0.7663728447770779,-1.0,-1.0,0.7403654645794293,0.8424157137578094,-1.0,-1.0,-1.0,-1.0,0.8583771156067819,0.8509138537342994,-1.0,-1.0,-1.0,0.8233974164637134,0.8159535955723671,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7102297185263329,-1.0,-1.0,0.7097057126965893,0.8394702529063699,-1.0,-1.0,-1.0,0.7238247611435571,0.7086221200919958,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8206806532114543,-1.0,-1.0,-1.0,-1.0,-0.0008072408145787247,-1.0,-1.0,-1.0,0.8526889728920609,-1.0,-1.0,-1.0,0.8145872199313027,-1.0,-1.0,-1.0,0.709814671565536,-1.0,0.8290396097220578,0.8271779747073986,-1.0,-1.0,0.795640854782972,-1.0,0.8688151690247097,-0.00044239126868927947,0.8335692061717968,0.8175467054058533,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7126101738340823,-1.0,-1.0,-1.0,-1.0,0.8144998622081813,-1.0,-1.0,-1.0,-0.0008265899208350636,-1.0,-1.0,-0.00044884913496345824,-1.0,-1.0,0.8100801687347418,0.8589467142516296,0.21088537729199952,-1.0,0.8153708686141625,-1.0,-1.0,0.8072094587737689
split1_test_score,-1.0,0.8148895887837911,-1.0,-1.0,0.7600976161793374,0.8513999962676375,-1.0,-1.0,-1.0,-1.0,0.8760961738488364,0.8341638901762912,-1.0,-1.0,-1.0,0.8242829699588778,0.7583285516189673,-1.0,-1.0,-1.0,-0.0013820712565681958,-1.0,-1.0,0.8341663941115551,-1.0,-1.0,0.7541242030346191,0.6852233563348364,-1.0,-1.0,-1.0,0.7168247706826167,0.8693499150312634,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8338112278664291,-1.0,-1.0,-1.0,-1.0,-4.773553549020093e-05,-1.0,-1.0,-1.0,0.8619814376466508,-1.0,-1.0,-1.0,0.7947126992636939,-1.0,-1.0,-1.0,0.8383764399351264,-1.0,0.8261357304355731,0.8499673622484301,-1.0,-1.0,0.8375719643786066,-1.0,0.8723917056268166,-0.00043923656002209377,0.8678795938093339,0.8525417236440705,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7470766863760416,-1.0,-1.0,-1.0,-1.0,0.8401024835155948,-1.0,-1.0,-1.0,0.0003677129785205624,-1.0,-1.0,-3.74981601134472e-05,-1.0,-1.0,0.8796615736556426,0.8615919414771603,0.2442184689724145,-1.0,0.840929742726322,-1.0,-1.0,0.8213847835421282
split2_test_score,-1.0,0.7985137537009948,-1.0,-1.0,0.7443064461909336,0.8256675918098593,-1.0,-1.0,-1.0,-1.0,0.8564043809920238,0.8272622842013321,-1.0,-1.0,-1.0,0.8226025906874755,0.7924575033208953,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7059591239537135,-1.0,-1.0,0.7487401163132229,0.7944170474950364,-1.0,-1.0,-1.0,0.7168212391826403,0.8303171540556592,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8250186870711665,-1.0,-1.0,-1.0,-1.0,-0.0010677321263312667,-1.0,-1.0,-1.0,0.8622018714340598,-1.0,-1.0,-0.000526701886951475,0.7629709631293098,-1.0,-1.0,-1.0,0.8198205086971833,-1.0,0.6956593007347533,0.8198977928715263,-1.0,-1.0,0.8261797208789489,-1.0,-1.0,-0.0029581724458005443,0.8332302809630638,0.8215623760780251,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7431055189646529,-1.0,-1.0,-1.0,-1.0,0.8143239411548691,-1.0,-1.0,-1.0,-0.003959198617316639,-1.0,-1.0,-0.0006114689368450499,-1.0,-1.0,-0.003526916138409053,0.8130905515344873,0.23283454434201678,-1.0,0.8403046186880931,-1.0,-1.0,0.7981759504681074
